"co_pcdt","sg_procedimentoa","sg_procedimentob","qt_cns_paciente","sg_procedimentob2"
23,PENI250,QUET25,10,QUET25
23,PENI250,RISE35,4,RISE35
23,PENI250,RISP2,5,RISP2
23,PENI250,SINV10,4,SINV10
23,PENI250,TACR1,8,TACR1
23,PENI250,TACR5,8,TACR5
23,PENI250,TOXI100,27,TOXI100
23,PENI250,TOXI500,36,TOXI500
24,HIDR500,ALFA4000,99,ALFA4000
24,HIDR500,CODE30,160,CODE30
24,HIDR500,DEFE125,121,DEFE125
24,HIDR500,DEFE250,486,DEFE250
24,HIDR500,DEFE500,1612,DEFE500
24,HIDR500,DESF500,99,DESF500
24,HIDR500,FORM1240060,45,FORM1240060
24,HIDR500,GABA300,52,GABA300
24,HIDR500,HIDR400,79,HIDR400
24,HIDR500,MORF10,41,MORF10
24,HIDR500,MORF30,35,MORF30
24,HIDR500,SOMA12,45,SOMA12
24,HIDR500,TOXI500,35,TOXI500
25,FILG300,ALFA2180,28,ALFA2180
25,FILG300,ALFA280,21,ALFA280
25,FILG300,ALFA4000,46,ALFA4000
25,FILG300,RIBA250,43,RIBA250
25,IMUN05,IMUN05,31,IMUN05
25,IMUN05,IMUN50,22,IMUN50
25,IMUN25,IMUN50,49,IMUN50
25,IMUN50,AZAT50,28,AZAT50
25,IMUN50,IMUN05,78,IMUN05
25,IMUN50,IMUN25,69,IMUN25
25,IMUN60,IMUN60,34,IMUN60
26,FORM12,FORM12400,856,FORM12400
26,FORM12,FORM1240060,1809,FORM1240060
26,FORM12400,FORM1240060,4599,FORM1240060
26,FORM12400,FORM6200,1001,FORM6200
26,FORM1240060,ATOR20,905,ATOR20
26,FORM1240060,FORM12,1275,FORM12
26,FORM1240060,FORM12400,7508,FORM12400
26,FORM1240060,FORM620060,1683,FORM620060
26,FORM620060,FORM1240060,951,FORM1240060
26,FORM620060,FORM6200,891,FORM6200
27,CODE30,GABA300,10489,GABA300
27,CODE30,MORF10,13007,MORF10
27,CODE30,MORF30,3680,MORF30
27,GABA300,CODE30,2636,CODE30
27,GABA300,GABA400,7319,GABA400
