"co_pcdt","co_uf_ibge_estabelecimento","nu_ano_competencia","qt_cnes_estabelecimento"
2,52,2018,3
2,52,2019,1
2,53,2008,1
2,53,2009,1
2,53,2010,1
2,53,2011,1
2,53,2012,2
2,53,2013,2
2,53,2014,2
2,53,2015,2
2,53,2016,2
2,53,2017,3
2,53,2018,3
2,53,2019,3
3,11,2008,1
3,11,2009,1
3,11,2010,1
3,11,2011,1
3,11,2012,1
3,11,2013,1
3,11,2014,1
3,11,2015,1
3,11,2016,1
3,11,2018,1
3,11,2019,1
3,12,2012,1
3,12,2013,1
3,13,2008,1
3,13,2009,1
3,13,2011,1
3,13,2013,1
3,13,2014,1
3,13,2015,1
3,13,2016,1
3,13,2017,1
3,13,2018,1
3,13,2019,2
3,14,2010,1
3,14,2016,1
3,14,2017,1
3,15,2008,2
3,15,2009,2
3,15,2010,1
3,15,2011,1
3,15,2012,1
3,15,2013,3
3,15,2014,1
3,15,2015,2
3,15,2016,1
3,15,2017,2
3,15,2018,1
3,16,2017,1
3,16,2018,1
3,16,2019,1
3,17,2010,1
3,17,2011,1
3,17,2012,1
3,17,2013,1
3,17,2016,1
3,21,2008,1
3,21,2009,1
3,21,2010,1
3,21,2011,1
3,21,2012,1
3,21,2013,1
3,21,2016,1
3,21,2017,1
3,21,2018,1
3,21,2019,1
3,22,2008,1
3,22,2009,1
3,22,2010,1
3,22,2011,1
3,22,2012,1
3,22,2013,1
3,22,2014,1
3,22,2015,1
3,22,2016,1
3,22,2017,1
3,22,2018,1
3,22,2019,1
3,23,2008,3
3,23,2009,4
3,23,2010,4
3,23,2011,2
3,23,2012,1
3,23,2013,2
3,23,2014,1
3,23,2015,1
3,23,2016,1
3,23,2017,1
3,23,2018,1
3,23,2019,1
3,24,2008,1
3,24,2009,1
3,24,2010,1
3,24,2011,1
3,24,2012,1
3,24,2013,1
3,24,2014,1
3,24,2015,2
3,24,2016,2
3,24,2017,3
3,24,2018,2
3,24,2019,2
3,25,2008,1
3,25,2009,1
3,25,2010,2
3,25,2011,2
3,25,2012,1
3,25,2013,1
3,25,2014,2
3,25,2015,2
3,25,2016,2
3,25,2017,2
3,25,2018,1
3,25,2019,1
3,26,2008,1
3,26,2015,1
3,26,2018,1
3,26,2019,1
3,27,2008,1
3,27,2011,1
3,27,2012,1
3,27,2017,1
3,27,2019,1
3,28,2009,1
3,28,2010,1
3,28,2014,1
3,29,2016,1
3,29,2017,1
3,29,2018,6
3,29,2019,9
3,31,2008,4
3,31,2009,7
3,31,2010,7
3,31,2011,8
3,31,2012,8
3,31,2013,8
3,31,2014,6
3,31,2015,6
3,31,2016,6
3,31,2017,7
3,31,2018,7
3,31,2019,10
3,32,2008,2
3,32,2009,1
3,32,2010,2
3,32,2011,2
3,32,2017,2
3,32,2018,3
3,32,2019,1
3,33,2008,1
3,33,2009,1
3,33,2010,1
3,33,2011,1
3,33,2012,1
3,33,2013,1
3,33,2014,1
3,33,2015,1
3,33,2016,1
3,33,2017,1
3,33,2018,1
3,33,2019,1
3,35,2008,25
3,35,2009,27
3,35,2010,29
3,35,2011,25
3,35,2012,21
3,35,2013,20
3,35,2014,22
3,35,2015,19
3,35,2016,17
3,35,2017,17
3,35,2018,16
3,35,2019,17
3,41,2008,6
3,41,2009,6
3,41,2010,7
3,41,2011,7
3,41,2012,6
3,41,2013,4
3,41,2014,4
3,41,2015,6
3,41,2016,5
3,41,2017,6
3,41,2018,8
3,41,2019,7
3,42,2008,1
3,42,2009,1
3,42,2010,1
3,42,2011,1
3,42,2012,1
3,42,2013,1
3,42,2014,1
3,42,2015,1
3,42,2016,1
3,42,2017,1
3,42,2018,1
3,42,2019,1
3,43,2008,6
3,43,2009,5
3,43,2010,4
3,43,2011,5
3,43,2012,4
3,43,2013,3
3,43,2014,4
3,43,2015,3
3,43,2016,1
3,43,2017,4
3,43,2018,8
3,43,2019,5
3,50,2008,1
3,50,2009,1
3,50,2010,1
3,50,2011,1
3,50,2012,1
3,50,2015,1
3,50,2016,1
3,50,2017,1
3,50,2018,1
3,50,2019,1
3,51,2008,1
3,51,2009,1
3,51,2010,1
3,51,2011,1
3,51,2012,1
3,51,2013,1
3,51,2015,1
3,51,2016,1
3,51,2017,1
3,51,2018,1
3,51,2019,1
3,52,2008,2
3,52,2009,2
3,52,2010,2
3,52,2011,1
3,52,2012,1
3,52,2013,2
3,52,2014,2
3,52,2015,2
3,52,2016,1
3,52,2017,2
3,52,2018,2
3,52,2019,1
3,53,2008,1
3,53,2009,1
3,53,2010,1
3,53,2011,1
3,53,2012,1
3,53,2013,2
3,53,2014,2
3,53,2015,2
3,53,2016,2
3,53,2017,2
3,53,2018,2
3,53,2019,1
4,11,2008,1
4,11,2009,1
4,11,2014,1
4,11,2015,1
4,11,2016,1
4,11,2017,1
4,11,2018,1
4,12,2011,1
4,12,2013,1
4,12,2014,1
4,12,2017,1
4,13,2008,1
4,13,2009,1
4,13,2010,1
4,13,2011,1
4,13,2012,1
4,13,2013,1
4,13,2014,1
4,13,2015,1
4,13,2016,1
4,13,2017,1
4,13,2018,1
4,13,2019,2
4,14,2008,1
4,14,2015,1
4,14,2017,1
4,14,2018,1
4,15,2009,1
4,15,2010,1
4,15,2011,1
4,15,2012,1
4,15,2013,2
4,15,2014,1
4,15,2015,1
4,15,2016,2
4,15,2017,5
4,15,2018,1
4,15,2019,1
4,16,2010,1
4,16,2011,1
4,16,2016,1
4,16,2017,1
4,17,2016,1
4,17,2019,1
4,21,2008,1
4,21,2009,1
4,21,2010,1
4,21,2011,1
4,21,2012,1
4,21,2013,1
4,21,2014,1
4,21,2015,1
4,21,2016,1
4,21,2017,1
4,21,2018,1
4,21,2019,1
4,22,2016,1
4,22,2017,1
4,22,2019,1
4,23,2008,3
4,23,2009,3
4,23,2010,3
4,23,2011,4
4,23,2012,3
4,23,2013,3
4,23,2014,3
4,23,2015,1
4,23,2016,1
4,23,2017,1
4,23,2018,2
4,23,2019,2
4,24,2008,1
4,24,2009,1
4,24,2011,1
4,24,2012,1
4,24,2013,1
4,24,2014,2
4,24,2015,1
4,24,2016,2
4,24,2017,1
4,24,2018,2
4,24,2019,2
4,25,2008,1
4,25,2009,1
