co_pcdt,co_cnes_estabelecimento,qt_dispensacao,qt_cns_paciente,nu_competencia_min,nu_competencia_max
2,2768429,985,59,200801,201903
2,2768437,432,12,200802,201906
2,2768445,920,33,200801,201906
2,2768453,1877,35,200801,201906
2,2768461,1565,47,200801,201906
2,2768488,910,26,200801,201906
2,2768496,75,6,201110,201906
2,2768518,1745,64,200801,201906
2,2768526,735,13,200801,201906
2,2768534,1984,43,200801,201906
2,2774526,1617,29,200801,201906
2,2774593,254,8,200801,201906
2,2774909,75,4,201410,201906
2,2777606,2459,224,200801,201906
2,2779528,1355,142,200801,201009
2,2781948,624,19,200802,201906
2,2781964,516,7,200801,201906
2,2781972,610,12,200801,201906
2,2783746,1131,37,200801,201906
2,2784432,13611,343,200801,201906
2,2785250,2138,186,200801,201101
2,2786214,3554,140,200801,201906
2,2792354,3510,134,200801,201906
2,2792907,12034,806,200801,201906
2,2793229,1216,46,200801,201906
2,2794179,6,2,201310,201312
2,2794187,317,54,200812,201607
2,2802929,494,14,200801,201906
2,2816237,8,3,201807,201905
2,2816741,13268,218,200801,201906
2,2818256,1726,96,200801,201903
2,2824655,2,1,201810,201902
2,3286967,9,3,200810,201303
2,3289761,349,16,200807,201409
2,3302350,59,10,201010,201209
2,3339637,281,11,200802,201801
2,3469972,5621,182,200801,201906
2,3503038,954,53,200801,201801
2,3542734,1179,46,200801,201906
2,3554481,9568,379,200906,201906
2,3554503,15610,960,200906,201906
2,3554538,13464,966,200906,201906
2,3586677,29,5,200803,201005
2,3629848,140,12,200801,201306
2,3653404,6583,320,200801,201906
2,3781658,5654,372,200801,201906
2,3846393,6470,327,200801,201906
2,3890538,16049,917,200801,201906
2,3933822,700,64,200801,201906
2,4013581,6224,592,200801,201906
2,4016017,7900,800,200801,201906
2,4021312,9,2,201804,201905
2,4022335,23,10,201807,201905
2,4023013,3,1,201807,201809
2,4026918,40,7,201807,201905
2,4027744,19,4,201811,201905
2,4028066,11,3,201808,201905
2,4028163,1,1,201810,201810
2,4031954,10,3,201807,201905
2,4033663,129,33,201808,201905
2,4036220,895,47,200801,201906
2,4046374,48625,1248,200801,201906
2,4053400,564,16,200801,201906
2,4054016,3308,70,200801,201906
2,4056795,637,28,200801,201906
2,4057198,537,13,200801,201906
2,4069463,4201,401,200801,201906
2,5118484,534,18,200801,201906
2,5188628,262,11,200801,201906
2,5246652,106,6,200801,201906
2,5352282,227,10,200801,201303
2,5450616,3977,183,200801,201906
2,5604613,3897,143,200802,201906
2,5823226,69,2,200901,201905
2,5823234,776,21,200807,201906
2,5823390,106,2,200903,201709
2,5904080,2,1,201304,201305
2,5964016,9,3,201307,201506
2,5968607,6609,321,200810,201906
2,6009492,5104,256,200810,201906
2,6011063,17,3,201401,201611
2,6014941,37,5,201310,201810
2,6018599,5083,158,200810,201906
2,6022219,35,8,201210,201811
2,6022383,106,4,201210,201906
2,6047904,843,82,201206,201906
2,6055117,2543,233,200811,201906
2,6059465,465,11,200905,201906
2,6059538,381,6,200901,201906
2,6214266,100,2,201511,201906
2,6277373,92,42,200912,201705
2,6323715,335,97,201001,201202
2,6352782,1376,109,201001,201906
2,6352790,7,3,201311,201512
2,6400361,35,3,201106,201212
2,6423094,1,1,201511,201511
2,6432484,62,10,201807,201905
2,6461425,206,5,201003,201906
2,6471188,9536,215,201012,201906
