"co_pcdt","sg_procedimento"
43,ALFA23000000
43,ALFA25000000
43,ALFA280
43,ALFA3000
43,ALFA4000
43,AZAT50
43,BETA11200000044
43,BETA1600000022
43,BETA1600000030
43,BOCE200
43,CALC025
43,CICLOSP25
43,CICLOSP50
43,DACL30
43,DACL60
43,FILG300
43,HIDR400
43,LAMI10240
43,LEDI90400
43,MESA800
43,MICO500
43,MOLG300
43,MORF1060
43,OLAN10
43,OLAN5
43,OMBI125755002
43,PRAV20
43,RALO60
43,RIBA250
43,RISP2
43,SACA1005
43,SEVE800
43,SIME150
43,SINV20
43,SIRO1
43,SIRO2
43,SOFO400
43,SOFO400100
43,TACR1
43,TACR5
43,TELA375
44,ALEN70
44,ALFA025
44,ALFA10
44,ALFA1000
44,ALFA10000
44,ALFA2000
44,ALFA23000000
44,ALFA3000
44,ATOR10
44,AZAT50
44,BEZA200
44,CALC025
44,CALC10
44,CICLOSP100
44,CICLOSP25
44,CICLOSP50
44,CINA30
44,CINA60
44,DESF500
44,DONE5
44,ETAN50
44,FORM1240060
44,HIDR230
44,HIDR300
44,HIDR615100
44,MICO180
44,MICO360
44,MICO500
44,MORF1060
44,PARI501
44,PENI250
44,SACA1005
44,SEVE400
44,SEVE800
44,SINV10
44,SINV20
44,SIRO1
44,SIRO160
44,SIRO2
44,TACR1
44,TACR5
45,CIPR50
45,FLUD01
45,FLUT250
45,LAMI10240
45,LOVA20
45,MICO500
45,PANC10000
45,TACR1
46,ALFA4000
46,BEZA200
46,BROM25
46,BROM5
46,CABE05
46,CALC025
46,CIPR100
46,CLOZ100
46,GLAT20
46,OLAN5
46,RISP2
46,SINV20
46,ZIPR80
47,AMBR10
47,AMBR5
47,BOSE125
47,BOSE625
47,ILOP101
47,SILD20
48,ALEN10
48,ALFA025
48,ALFA10
48,ALFA4000
48,ATOR10
48,ATOR20
48,CABE05
48,CALC025
48,CALC200
48,CICLOSP100
48,CICLOSP25
48,CICLOSP50
48,LEFL20
48,LEUP1125
48,MICO360
48,MICO500
48,OLAN10
48,PRAV20
48,RALO60
48,SACA1005
48,SEVE800
48,SINV10
48,SINV20
48,SIRO1
48,SIRO2
48,SULF500
48,TACR1
49,ACIT10
49,ACIT25
50,ALFA2000
50,ALFA4000
50,BUDE200100
50,CALC025
50,FORM12
50,IMUN05
50,IMUN10
50,IMUN25
50,IMUN30
50,IMUN50
50,IMUN60
50,LAMO100
50,SOMA4
50,SULF500
51,FLUD01
52,META5
52,PANC10000
52,PANC12000
52,PANC18000
52,PANC20000
52,PANC25000
52,PANC4500
53,GOSS1080
53,GOSS360
53,LEUP1125
53,LEUP375
53,TRIP1125
53,TRIP375
54,ALEN10
54,ALFA4000
54,AZAT50
54,CALC025
54,CICLOFO50
54,CICLOSP10
54,CICLOSP100
54,CICLOSP10050
54,CICLOSP25
54,CICLOSP50
54,CLOR150
54,DANA100
54,DANA200
54,FORM620060
54,GABA400
54,HIDR400
54,METO25
54,METO252
54,MICO500
54,RALO60
54,SACA1005
54,SEVE800
54,SIRO160
55,AZAT50
55,CICLOSP10
55,CICLOSP100
55,CICLOSP10050
55,CICLOSP25
55,CICLOSP50
55,IMUN05
55,IMUN10
55,IMUN25
55,IMUN50
55,IMUN60
55,PIRI60
56,FILG300
56,MOLG300
57,ALFA025
57,ALFA10
57,ALFA1000
57,ALFA10000
57,ALFA2000
57,ALFA3000
57,ALFA4000
57,AZAT50
57,CALC025
57,CALC10
57,CICLOSP100
57,CICLOSP25
57,CICLOSP50
57,CINA30
57,CINA60
57,DESF500
57,ETAN50
57,IMUN50
57,MICO180
57,MICO360
57,MICO500
57,PARI501
57,SACA1005
57,SEVE800
57,SIRO1
57,TACR1
57,TACR5
58,ALEN10
58,ALEN70
58,ALFA2000
58,ALFA4000
58,AMAN100
58,ATOR10
58,AZAT50
58,CALC025
58,CALC10
58,CALC100
58,CALC200
58,CALC50
58,CICLOSP100
58,CICLOSP50
58,DONE5
58,ETAN50
58,FORM1240060
58,GOSS1080
58,ISOT20
58,LEVO25025
58,MICO180
58,MICO360
58,MICO500
58,PAMI30
58,PAMI60
58,PAMI90
58,PRAV20
58,RALO60
58,RISE35
58,RISE5
58,SACA1005
58,SALB100200
58,SEVE800
58,SINV20
58,SINV40
58,SIRO1
58,SIRO2
58,TACR1
59,ADEF10
59,ALFA2100
59,ALFA210000000
59,ALFA2120
59,ALFA2180
59,ALFA23000000
59,ALFA25000000
59,ALFA280
59,ALFA4000
59,AZAT50
59,CALC025
59,CICLOSP100
59,CICLOSP25
