"co_pcdt","sg_uf","nu_competencia_min","nu_competencia_max","qt_municipios_atendimento","qt_municipios_paciente","qt_secretarias","qt_cns_pacientes","qt_00a20","qt_21a40","qt_41a60","qt_61a00","qt_sexof","qt_sexom","qt_obito_paciente","qt_cid","qt_sigtap","qt_registros","qt_aprovada","vl_aprovado_ipca","qt_redesbr1","qt_redesbr2","qt_redesbr3","qt_redesbr4","qt_redesbr5"
28,PB,200801,201906,4,126,3,1043,387,4097,1828,30,6335,8,0,7,9,6343,2615,2055253.91,2454,0,3889,0,0
28,PE,200801,201906,3,89,3,1226,185,4916,1361,0,6462,0,0,7,9,6462,4282,1628748.03,1053,0,196,0,5213
28,AL,200801,201906,1,44,1,404,77,2357,402,8,2834,10,0,7,9,2844,3757,964097.19,511,0,2333,0,0
28,SE,200907,201906,1,52,1,672,121,2718,467,4,3310,0,0,7,5,3310,1801,1306873.34,876,0,0,0,2434
28,BA,200801,201906,2,127,2,1140,46,1901,443,7,2397,0,0,7,7,2397,2362,1684809.54,491,11,459,0,1436
28,MG,200801,201906,31,442,2,4923,546,13122,4266,62,17892,104,0,7,10,17996,175104,12103210.56,1320,525,8739,1302,6110
28,ES,200801,201906,10,68,1,1567,192,5792,1786,1,7768,3,0,7,10,7771,8852,4018243.31,0,511,3320,0,3940
28,RJ,200801,201906,3,79,3,5052,678,17043,6528,109,24355,3,0,7,11,24358,44631,10142803.75,0,0,2979,652,20727
28,SP,200801,201906,33,588,6,32877,5680,108537,30404,375,144977,24,4,7,13,145001,204504,68479462.01,0,2295,18678,21288,102740
28,PR,200801,201906,22,315,1,6011,1270,35764,4160,53,41233,14,1,7,11,41247,81470,13368518.79,305,280,18178,991,21493
28,SC,200801,201906,2,217,2,3114,335,11905,1905,24,14136,33,0,7,7,14169,17819,7091902.27,0,0,4488,2234,7447
28,RS,200801,201906,19,265,2,1879,337,4301,1004,43,5567,118,0,7,14,5685,30237,4194304.12,0,0,2111,495,3079
28,MS,200801,201906,1,60,1,869,117,4444,891,7,5459,0,0,7,11,5459,13254,1807866.12,0,120,1585,3754,0
28,MT,200802,201906,1,67,1,1369,276,6794,908,65,7909,134,0,7,12,8043,5185,2647868.42,101,1371,0,6571,0
28,GO,200801,201906,3,111,2,1270,113,3190,561,6,3868,2,0,7,8,3870,4965,2488584.51,25,371,1715,92,1667
28,DF,200801,201906,3,14,2,503,61,2070,399,3,2533,0,0,7,7,2533,760,776117.05,0,0,0,0,1786
29,RO,200801,201906,3,49,3,1149,12513,15550,8377,1349,17945,19844,0,9,22,37789,2319077,637442.66,6146,7663,23980,0,0
29,AC,200801,201906,3,10,2,132,2044,2072,1413,185,2943,2771,0,6,18,5714,320864,119274.13,172,5542,0,0,0
29,AM,200801,201906,5,31,5,741,12598,7816,3225,525,11927,12237,0,9,17,24164,1906742,367077.08,1574,0,0,22590,0
29,RR,200801,201906,4,8,4,161,840,884,515,201,1364,1076,0,6,17,2440,162306,100085.34,89,2351,0,0,0
29,PA,200801,201906,15,69,5,578,7481,3416,960,157,5108,6909,1,9,15,12017,770911,217178.14,3723,1814,0,6480,0
29,AP,200801,201906,4,8,3,115,968,394,22,32,666,750,0,9,17,1416,68192,31713.03,65,1351,0,0,0
29,TO,200801,201906,7,36,3,214,3802,3453,1067,227,3873,4676,2,8,15,8549,581268,133227.28,286,3247,1461,3555,0
29,MA,200801,201906,12,126,9,1923,33616,11053,5164,1904,25201,26536,0,9,21,51737,2594676,1257609.04,8217,565,0,42955,0
29,PI,200801,201906,11,98,8,739,12142,5903,2975,1001,10999,11022,2,8,20,22021,1500608,840732.40,6459,0,15562,0,0
