"co_pcdt","sg_procedimento","nu_ano_competencia","qt_paciente_tempo","qt_registros_avg","qt_registros_std","co_seq_pcdt_ano","qt_acum","sg_abc"
2,OCTR20,2018,664.4166666666666,7.1123996431757360,3.7578296411055280,3,0.42155789473684235,C
2,LANR120,2018,396.99999999999955,7.0473372781065089,3.9143582241301947,4,0.2872757894736844,C
2,CICLOSP100,2018,332.583333333334,5.0647208121827411,3.4312450347744246,5,0.20704000000000022,C
2,CICLOSP50,2018,194.16666666666654,5.0762527233115468,3.6315968899267955,6,0.1398231578947369,C
2,LANR90,2018,176.16666666666677,5.8722222222222222,3.6566123652196089,7,0.10058105263157902,C
2,OCTR10,2018,102.58333333333331,6.7267759562841530,3.9449082482221625,8,0.0649768421052632,C
2,CICLOSP25,2018,99.74999999999999,5.2043478260869565,3.9068832171406360,9,0.044244210526315816,C
2,AZAT50,2018,58.83333333333335,5.7398373983739837,3.7456803500591726,10,0.024084210526315805,C
2,LANR60,2018,20,4.2857142857142857,3.2847542358006618,11,0.012193684210526322,C
2,FILG300,2018,19.08333333333333,3.4179104477611940,2.9906381893732440,12,0.008151578947368425,C
2,CICLOSP10050,2018,18.833333333333336,3.5873015873015873,2.3937749957251058,13,0.004294736842105266,C
2,OCTR01,2018,2.2499999999999996,6.7500000000000000,6.0759087111860615,14,0.0004884210526315792,C
2,CICLOSP10,2018,0.16666666666666666,2.0000000000000000,,15,0.000033684210526315806,C
2,CABE05,2019,837.5833333333339,4.1362139917695473,2.1031366299217658,1,1.0000000000000004,A
2,OCTR30,2019,434.5833333333339,4.7323049001814882,1.7122813166931427,2,0.6402262232881126,B
2,OCTR20,2019,338.0833333333332,4.4631463146314631,1.6993181456944762,3,0.45355621577119937,C
2,LANR120,2019,209.16666666666654,4.3576388888888889,1.8846410747610083,4,0.30833661452553957,C
2,CICLOSP100,2019,160.58333333333337,3.4288256227758007,1.8411289573604216,5,0.21849160611375595,C
2,CICLOSP50,2019,103.75000000000004,3.6297376093294461,1.8809421836412956,6,0.14951498013387263,C
2,LANR90,2019,78.58333333333329,3.5719696969696970,1.7073232732949283,7,0.10495042416866518,C
2,CICLOSP25,2019,56.916666666666664,3.6524064171122995,2.1382416868437601,8,0.07119590507212656,C
2,OCTR10,2019,45.166666666666664,4.1692307692307692,1.6572063049090814,9,0.04674804023338225,C
2,AZAT50,2019,32.916666666666664,3.9108910891089109,1.6192529753005866,10,0.02734724558828793,C
2,LANR60,2019,12.416666666666668,3.4651162790697674,1.8040805230854584,11,0.01320829008125425,C
2,CICLOSP10050,2019,9.666666666666668,2.7619047619047619,1.6050153682042715,12,0.007874861295056735,C
2,FILG300,2019,7.666666666666667,1.9574468085106383,1.4589669783268875,13,0.003722661703117729,C
2,OCTR01,2019,1,4.0000000000000000,2.6457513110645906,14,0.0004295378888212764,C
3,CICLOSP100,2008,71.25000000000003,6.3333333333333333,5.1832105534881607,1,0.9999999999999998,A
3,AZAT50,2008,48.49999999999999,5.5428571428571429,4.1441074278578220,2,0.6153846153846152,B
3,CICLOSP50,2008,21.833333333333336,5.5744680851063830,4.4416246579624630,3,0.3535762483130903,C
3,FILG300,2008,21.41666666666667,4.2131147540983607,3.6245218263855655,4,0.23571749887539356,C
3,CICLOSP10050,2008,14.666666666666666,4.7567567567567568,3.1658367807773228,5,0.12010796221322531,C
3,CICLOSP25,2008,7.499999999999999,5.2941176470588235,6.8626225479254006,6,0.04093567251461986,C
3,ALFA4000,2008,0.08333333333333333,1.00000000000000000000,,7,0.00044984255510571285,C
3,CICLOSP100,2009,60.583333333333314,6.1092436974789916,4.8201376940146418,1,0.9999999999999999,A
3,AZAT50,2009,50.000000000000014,5.4545454545454545,4.5264490074650111,2,0.6388474913065078,B
3,CICLOSP50,2009,18.583333333333343,4.8478260869565217,4.3408518943960903,3,0.34078489816194735,C
3,FILG300,2009,16.833333333333332,4.3913043478260870,3.5744666167419858,4,0.2300049677098857,C
3,CICLOSP10050,2009,13.833333333333334,5.0303030303030303,4.5722317340991183,5,0.12965722801788374,C
3,CICLOSP25,2009,7.916666666666666,5.2777777777777778,5.4211519890968644,6,0.04719324391455538,C
3,CICLOSP100,2010,55.75000000000001,5.4836065573770492,3.6232344952486792,1,1,A
3,AZAT50,2010,41.416666666666664,4.9207920792079208,3.5176218339009430,2,0.6123986095017381,B
3,CICLOSP50,2010,15.499999999999998,4.6500000000000000,3.4607691452801467,3,0.3244495944380069,C
3,FILG300,2010,14.833333333333334,3.1228070175438596,2.5500012285613041,4,0.21668597914252605,C
3,CICLOSP10050,2010,8.75,4.7727272727272727,3.7534976473610036,5,0.11355735805330242,C
3,CICLOSP25,2010,7.333333333333332,5.5000000000000000,3.7237973450050510,6,0.05272305909617612,C
3,IMUN50,2010,0.25,3.0000000000000000,,7,0.0017381228273464658,C
3,CICLOSP100,2011,51.333333333333336,5.7037037037037037,3.5893384683476127,1,1,A
3,CICLOSP50,2011,15.333333333333337,4.4878048780487805,3.5080047834881311,2,0.5145784081954294,B
3,FILG300,2011,11.75,3.7105263157894737,3.1700276641033678,3,0.3695823483057525,C
3,CICLOSP10050,2011,11.416666666666666,5.2692307692307692,3.8215985378654551,4,0.2584712371946414,C
3,CICLOSP25,2011,7.999999999999999,6.0000000000000000,4.8027769744874336,5,0.15051221434200154,C
3,AZAT50,2011,7.916666666666666,2.1590909090909091,0.88772460160092804936,6,0.07486209613869187,C
3,CICLOSP100,2012,43.83333333333332,5.7802197802197802,3.3293382652553171,1,0.9999999999999998,A
3,CICLOSP50,2012,15.833333333333334,5.5882352941176471,3.7426100684919320,2,0.4560496380558428,C
3,FILG300,2012,8.416666666666668,4.3913043478260870,2.8721093046239570,3,0.2595656670113754,C
3,CICLOSP10050,2012,7.916666666666668,5.0000000000000000,3.2145502536643183,4,0.15511892450879008,C
3,CICLOSP25,2012,4.416666666666667,5.3000000000000000,3.4334951418181574,5,0.05687693898655636,C
3,CICLOSP10,2012,0.16666666666666666,2.0000000000000000,,6,0.0020682523267838674,C
3,CICLOSP100,2013,38.83333333333333,4.7551020408163265,3.4968652367979080,1,1.0000000000000002,A
3,CICLOSP50,2013,22.5,5.0943396226415094,3.5532441890550811,2,0.46498277841561436,C
3,FILG300,2013,5.583333333333332,3.7222222222222222,2.8034759004105968,3,0.15499425947187145,C
3,CICLOSP10050,2013,3.3333333333333335,3.6363636363636364,2.9076701075853592,4,0.07807118254879453,C
3,CICLOSP25,2013,2.3333333333333335,3.1111111111111111,2.4720661623652210,5,0.03214695752009186,C
3,CICLOSP100,2014,38.08333333333335,5.1348314606741573,3.9317790653849026,1,1.0000000000000002,A
3,CICLOSP50,2014,22.249999999999996,5.2352941176470588,4.0476572744940629,2,0.47289504036908875,C
3,CICLOSP10050,2014,4.583333333333333,4.2307692307692308,2.9482719841133539,3,0.16493656286043828,C
3,FILG300,2014,3.75,3.0000000000000000,2.8535691936340256,4,0.10149942329873125,C
3,CICLOSP25,2014,3.583333333333333,3.5833333333333333,2.1514618004482159,5,0.049596309111880045,C
3,CICLOSP100,2015,35.833333333333336,5.6578947368421053,3.5234552419613993,1,1.0000000000000002,A
3,CICLOSP50,2015,20,6.0000000000000000,4.0887588236466966,2,0.4994179278230501,C
3,CICLOSP25,2015,6.916666666666665,5.9285714285714286,4.6651619761521961,3,0.220023282887078,C
3,FILG300,2015,5.833333333333333,5.8333333333333333,4.5693312288329327,4,0.12339930151338768,C
3,CICLOSP10050,2015,3.0000000000000004,3.6000000000000000,2.7968235951204041,5,0.04190919674039582,C
3,CICLOSP100,2016,31.75,5.0800000000000000,3.7190524803169088,1,0.9999999999999999,A
3,CICLOSP50,2016,18.166666666666668,5.5897435897435897,4.8651172362027722,2,0.5272952853598014,B
3,CICLOSP25,2016,10.416666666666666,6.5789473684210526,5.1024589875175132,3,0.25682382133995035,C
3,FILG300,2016,3.75,3.0000000000000000,3.0472470011002202,4,0.10173697270471463,C
3,CICLOSP10050,2016,3.0833333333333326,4.1111111111111111,3.0184617127124722,5,0.045905707196029766,C
3,CICLOSP100,2017,42.833333333333314,4.5486725663716814,3.2071102659405695,1,1,A
3,CICLOSP50,2017,23.333333333333336,5.0909090909090909,3.9780542762657003,2,0.5100095328884653,B
3,CICLOSP25,2017,10.666666666666666,5.5652173913043478,3.3821199236374828,3,0.24308865586272643,C
3,FILG300,2017,6.333333333333333,3.0400000000000000,2.7306897785480259,4,0.12106768350810296,C
3,CICLOSP10050,2017,4,3.2000000000000000,2.8081514000698548,5,0.04861773117254529,C
3,CICLOSP10,2017,0.25,3.0000000000000000,,6,0.0028598665395614875,C
3,CICLOSP100,2018,43.000000000000014,5.3195876288659794,3.5016257883320467,1,0.9999999999999999,A
3,CICLOSP50,2018,23.583333333333336,5.0535714285714286,3.5543552943454539,2,0.5009671179883944,B
3,CICLOSP25,2018,9.749999999999998,4.6800000000000000,3.5791060336346561,3,0.22727272727272718,C
3,FILG300,2018,5.916666666666667,3.9444444444444444,3.6697847704515191,4,0.1141199226305609,C
3,CICLOSP10050,2018,3.916666666666666,2.9375000000000000,2.3796008068581587,5,0.045454545454545435,C
3,CICLOSP100,2019,21.416666666666664,3.2125000000000000,1.9789637359877089,1,1,A
3,CICLOSP50,2019,13.583333333333334,3.5434782608695652,1.8703121752398024,2,0.5076628352490422,B
3,CICLOSP25,2019,4.916666666666666,3.1052631578947368,1.8225359878204284,3,0.1954022988505747,C
3,CICLOSP10050,2019,2.25,3.8571428571428571,1.4638501094227998,4,0.08237547892720307,C
3,FILG300,2019,1.3333333333333333,2.2857142857142857,0.75592894601845445443,5,0.03065134099616858,C
4,IMUN50,2008,39.58333333333335,2.6685393258426966,2.8537257045395630,1,0.9999999999999999,A
4,IMUN25,2008,0.9166666666666667,2.7500000000000000,2.8722813232690143,2,0.03846153846153845,C
4,IMUN05,2008,0.49999999999999994,1.2000000000000000,0.44721359549995793928,3,0.01619433198380566,C
4,IMUN60,2008,0.08333333333333333,1.00000000000000000000,,4,0.004048582995951415,C
4,IMUN10,2008,0.08333333333333333,1.00000000000000000000,,4,0.004048582995951415,C
4,IMUN50,2009,41.33333333333338,2.7252747252747253,2.9956356248778350,1,1,A
4,IMUN05,2009,0.41666666666666663,1.2500000000000000,0.50000000000000000000,2,0.025540275049115886,C
4,IMUN30,2009,0.41666666666666663,2.5000000000000000,2.1213203435596426,2,0.025540275049115886,C
4,IMUN25,2009,0.25,3.0000000000000000,,3,0.005893909626719052,C
4,IMUN50,2010,30.583333333333304,2.6594202898550725,2.4270265873376235,1,1,A
4,IMUN05,2010,3.6666666666666665,2.0952380952380952,1.9469145308606104,2,0.12410501193317433,C
4,IMUN25,2010,0.6666666666666666,1.6000000000000000,0.54772255750516611346,3,0.019093078758949895,C
4,IMUN50,2011,35.83333333333332,2.4157303370786517,2.3231042390306436,1,1,A
4,IMUN25,2011,1.3333333333333333,1.4545454545454545,0.68755165095232861878,2,0.05494505494505496,C
4,IMUN05,2011,0.7499999999999999,1.2857142857142857,0.48795003647426658968,3,0.019780219780219783,C
4,IMUN50,2012,26.416666666666647,2.5772357723577236,2.4761423264838658,1,1,A
